"enterprise","record_number","msa","perc_minority","tract_income_ratio","borrower_income_ratio","loan_purpose","federal_guarantee","borrower_race","co_borrower_race","borrower_gender","co_borrower_gender","num_units","affordability","year","type"
1,589,1,3,3,3,8,4,5,9,1,4,1,4,2015,0
2,886,1,3,1,1,1,4,7,9,1,5,1,2,2014,0
1,676,1,2,3,3,2,4,5,5,1,2,1,4,2012,1
2,745,1,1,2,3,2,4,5,5,2,1,1,4,2011,1
1,545,1,2,3,3,2,4,7,9,2,4,1,4,2012,1
2,434,1,1,3,3,2,4,5,5,1,2,1,9,2009,1
1,973,1,1,2,3,1,4,5,9,2,4,1,4,2008,0
2,972,1,2,2,3,2,4,5,5,1,2,1,4,2012,1
1,316,1,1,3,1,2,4,5,9,2,4,1,3,2010,1
2,1,1,1,3,3,1,4,5,9,1,5,1,9,2008,0
1,643,1,2,2,1,2,4,5,5,2,1,1,3,2008,1
1,859,1,3,2,3,2,4,5,2,1,2,2,4,2010,1
2,734,1,1,2,3,8,4,5,5,1,2,1,9,2009,0
1,620,1,3,3,3,8,4,5,5,1,2,1,4,2013,0
1,145,1,1,3,3,2,4,5,5,1,2,1,4,2010,1
1,650,1,1,2,3,2,4,5,5,1,2,1,4,2009,1
1,810,1,2,1,1,2,4,5,9,2,4,1,2,2013,1
1,195,1,2,3,3,2,4,5,5,1,2,1,4,2013,1
1,523,1,3,2,3,2,4,5,5,1,2,1,4,2013,1
1,358,1,1,2,3,8,4,5,5,1,2,1,4,2010,0
1,675,1,3,2,2,8,4,9,9,3,4,1,4,2012,0
1,276,1,2,3,3,8,4,9,5,3,2,1,4,2012,0
1,602,1,2,2,3,8,4,9,9,2,4,1,4,2010,0
2,355,1,3,1,2,1,4,5,9,1,5,1,1,2014,1
2,214,1,2,3,3,2,4,5,5,1,2,1,9,2008,1
1,923,0,2,2,1,8,4,5,9,2,4,1,3,2013,0
1,956,1,1,3,3,8,4,5,5,1,2,1,4,2013,0
1,337,1,1,3,3,8,4,5,5,1,2,1,4,2009,0
1,348,1,2,2,3,1,4,5,5,1,2,1,4,2014,0
